,Supplier_Name,Location,Materials,price
0,Shusa Mechatronics,"Changodar, Ahmedabad, Gujarat",MS/SS,320
2,Valk Engimach Private Limited,"LAMDAPURA, Vadodara, Gujarat",Aluminium,3000
4,Metloy Blast Tech,"Kathwada, Ahmedabad, Gujarat",Stainless Steel,50
6,Shubh Castings,"Goregaon, Mumbai, Maharashtra",Aluminium,225
8,Keytex Machines,"Sachin, Surat, Gujarat",Stainless Steel,850
10,Accurate Industries,"Amraiwadi, Ahmedabad, Gujarat",Carbon Steel,150
16,Prezmech The Machine Shop,"Gole Market, New Delhi",Stainless Steel,340
18,Reneet Technology,"Virar East, Vasai Virar, Thane, Maharashtra",Stainless Steel,15
20,ARC Enterprise,"Kothariya, Rajkot, Gujarat",,100
22,Sahaj Technofinish,"Kotada Sangani, Rajkot, Gujarat",Carbon Steel,500
24,Mars CNC Components,"Lower Parel, Mumbai, Maharashtra",,39900
26,Audhe Industries,"Sidco Industrial Estate, Coimbatore, Tamil Nadu",Stainless Steel Grades,250
28,Shanthi Engineering Works,"Karapakkam, Chennai, Tamil Nadu",Stainless Steel,850
30,R Mansukhlal & Co.,"Nagdevi, Mumbai, Maharashtra",MS,980
32,Raghuvir Industries,"GIDC, Rajkot, Gujarat",Carbon Steel,420
34,Veto Clamping Systems Private Ltd,"Gonchhi Village, Faridabad, Haryana",Carbon Steel,950
36,Sujal Auto Industries,"Bhakti Nagar, Rajkot, Gujarat",Aluminium,3000
38,Guru Nanak Machine Tools,"Bawana Industrial Area, New Delhi",Cast Iron,3500
40,Asha Enterprise,"Vavdi, Rajkot, Gujarat",Mild Steel,500
42,DMT Industries,"Ballabhgarh, Faridabad, Haryana",En - 36,5700
44,Maxwell Engineers,"Moshi, Aurangabad, Maharashtra",,38000
46,Robust Precise Craft,"New Industrial Township 1, Faridabad, Haryana",Alloy Steel,800
50,Shakti Machine Tools,"Khyala, New Delhi",mild steel,580
52,SHRI RAM TOOLS (INDIA),"Complex, Faridabad, Haryana",Carbon Steel,4000
54,Pratima Enterprises,"Bhosari, Pune, Maharashtra",Carbon Steel,4500
56,Pashupathi Technology & Tools,"Loni Industrial Area, Ghaziabad, Uttar Pradesh",Carbon Steel,600
